"","title","categories","published_year","average_rating","authors"
"1","gilead","Fiction",2004,3.85,"Marilynne Robinson"
"4","rage of angels","Fiction",1993,3.93,"Sidney Sheldon"
"13","warhost of vastmark","Fiction",1995,4.03,"Janny Wurts"
"36","ocean star express","Juvenile Fiction",2002,3.5,"Mark Haddon"
"38","the princess of the chalet school","Juvenile Fiction",2000,4.1,"Elinor Mary Brent-Dyer"
"55","taken at the flood","Fiction",2002,3.71,"Agatha Christie"
"61","the illustrated man","Fiction",2002,4.14,"Ray Bradbury"
"70","the yiddish policemen's union","Fiction",2007,3.7,"Michael Chabon"
"77","the real trial of oscar wilde","Biography & Autobiography",2004,4.04,"Merlin Holland"
"82","the silmarillion","Fiction",2004,3.91,"John Ronald Reuel Tolkien"
"94","tropic of cancer","Fiction",2005,3.69,"Henry Miller"
"96","the love of the last tycoon","Fiction",1994,3.65,"F. Scott Fitzgerald"
"97","the song of rhiannon","Fiction",1992,4.02,"Evangeline Walton"
"98","heart songs and other stories","Fiction",1995,3.93,"Annie Proulx"
"99","the voyage of the dawn treader","Juvenile Fiction",1970,4.09,"Clive Staples Lewis"
"101","the short stories of ernest hemingway","Fiction",1986,4.26,"Ernest Hemingway"
"103","reason in history","Philosophy",1953,3.64,"Georg Wilhelm Friedrich Hegel"
"105","the presocratics","Philosophy",1966,4.04,"Philip Wheelwright"
"106","spandau","History",1976,4.12,"Albert Speer"
"109","tyranny of the majority","History",1995,3.82,"Lani Guinier"
"110","the origins of the civil rights movement","History",1986,4.04,"Aldon D. Morris"
"111","presidential power and the modern presidents","History",1991,3.79,"Richard E. Neustadt"
"112","rest, rabbit, rest","Juvenile Fiction",1978,4.01,"Jacquelyn Reinach"
"113","where the red fern grows","Juvenile Fiction",2000,4.37,"Wilson Rawls"
"114","poppy's return","Juvenile Fiction",2006,3.99,"Avi"
"115","diary of a spider","Juvenile Fiction",2005,4.25,"Doreen Cronin"
"116","an old-fashioned thanksgiving","Juvenile Fiction",2005,3.7,"Louisa May Alcott"
"118","how to read literature like a professor","Literary Criticism",2003,3.65,"Thomas C. Foster"
"119","the amazing maurice and his educated rodents","Juvenile Fiction",2001,4.05,"Terry Pratchett"
"120","the wee free men","Juvenile Fiction",2004,4.27,"Terry Pratchett"
"121","going postal","Fiction",2004,4.38,"Terry Pratchett"
"123","she went all the way","Fiction",2002,3.69,"Meg Cabot"
"124","island","Fiction",1962,3.85,"Aldous Huxley"
"125","a year in the life of william shakespeare","Biography & Autobiography",2006,4.09,"James Shapiro"
"126","lucy sullivan is getting married","Fiction",2002,3.76,"Marian Keyes"
"127","the terminal man","Fiction",2002,3.36,"Michael Crichton"
"128","the art of the novel","Literary Criticism",2003,3.96,"Milan Kundera"
"129","the bromeliad trilogy","Juvenile Fiction",2003,4.06,"Terry Pratchett"
"130","merry christmas, amelia bedelia","Juvenile Fiction",2002,4.29,"Peggy Parish"
"131","identity","Fiction",1998,3.68,"Milan Kundera"
